"","pid","date","condition","tstamp","uid","opens","consumetime","newtweets","compose","reply","likes","retweet","follow","unfollow","statPageView","dialogExit","dialogIgnore","avgAttentionScore","logAtnScore","consumetimeHours"
"95","pilot21","05/20","2",1621538537787005,"565651299b04c0752dfa7508b4bb459c",2,698,21,0,0,0,0,0,0,NA,NA,NA,1,0,0.193888888888889
"96","pilot21","4/26","1",1619463732127023,"565651299b04c0752dfa7508b4bb459c",6,850,19,0,0,2,0,0,0,4,0,0,1,0,0.236111111111111
"97","pilot21","4/27","1",1619552885747069,"565651299b04c0752dfa7508b4bb459c",1,389,19,0,0,2,0,0,0,4,0,0,1,0,0.108055555555556
"98","pilot21","4/28","1",1619674026067003,"565651299b04c0752dfa7508b4bb459c",2,470,6,0,0,2,1,0,0,4,0,0,1,0,0.130555555555556
"99","pilot22","05/01","1",1619937393042013,"10633f53919d0dddebb3bf96784edea2",8,316,19,0,0,1,0,0,0,2,0,0,1,0,0.0877777777777778
"100","pilot22","05/02","1",1620006344093028,"10633f53919d0dddebb3bf96784edea2",8,259,32,1,0,2,0,1,0,1,0,0,1,0,0.0719444444444444
"101","pilot22","05/04","3",1620165895713018,"10633f53919d0dddebb3bf96784edea2",14,544,65,0,0,9,0,1,0,2,0,0,1,0,0.151111111111111
"102","pilot22","05/05","3",1620265189815017,"10633f53919d0dddebb3bf96784edea2",9,427,100,0,0,9,0,1,0,0,0,0,1,0,0.118611111111111
"103","pilot22","05/06","3",1.62037e+15,"10633f53919d0dddebb3bf96784edea2",7,243,106,0,0,6,1,0,0,2,0,0,1,0,0.0675
"104","pilot22","05/07","3",1620452170462002,"10633f53919d0dddebb3bf96784edea2",5,330,91,0,0,4,1,0,0,1,0,0,1,0,0.0916666666666667
"105","pilot22","05/09","3",1620624887306005,"10633f53919d0dddebb3bf96784edea2",9,221,78,0,0,11,0,0,0,4,0,0,1,0,0.0613888888888889
"106","pilot22","05/13","0",1620971783031014,"10633f53919d0dddebb3bf96784edea2",6,366,18,0,0,0,0,0,0,NA,NA,NA,1,0,0.101666666666667
"107","pilot22","05/14","0",1621056413799013,"10633f53919d0dddebb3bf96784edea2",5,298,20,0,0,0,0,0,0,NA,NA,NA,1,0,0.0827777777777778
"108","pilot22","05/15","0",1621146474025006,"10633f53919d0dddebb3bf96784edea2",10,280,12,0,0,0,0,0,0,NA,NA,NA,1,0,0.0777777777777778
"109","pilot22","05/16","0",1621220286444009,"10633f53919d0dddebb3bf96784edea2",4,231,22,0,0,0,0,0,0,NA,NA,NA,1,0,0.0641666666666667
"110","pilot22","05/20","2",1621578205250004,"10633f53919d0dddebb3bf96784edea2",2,233,39,0,0,1,0,0,0,NA,NA,NA,1,0,0.0647222222222222
"111","pilot22","05/23","2",1.62184e+15,"10633f53919d0dddebb3bf96784edea2",7,901,62,0,0,2,0,0,0,NA,NA,NA,1,0,0.250277777777778
"112","pilot22","4/26","1",1619503819245042,"10633f53919d0dddebb3bf96784edea2",9,409,27,0,0,2,0,0,0,3,0,0,1,0,0.113611111111111
"113","pilot22","4/27","1",1619587418749012,"10633f53919d0dddebb3bf96784edea2",8,547,20,0,0,4,0,1,0,2,0,0,1,0,0.151944444444444
"114","pilot22","4/28","1",1619672213893016,"10633f53919d0dddebb3bf96784edea2",7,209,16,0,0,4,0,0,0,0,0,0,1,0,0.0580555555555556
"115","pilot22","4/29","1",1619757372806019,"10633f53919d0dddebb3bf96784edea2",6,271,10,0,0,0,0,2,0,2,0,0,1,0,0.0752777777777778
"123","pilot26","05/12","0",1620808731288026,"528b647c93656646ea7a0c79e0bb3eb2",1,253,4,0,0,1,0,0,0,NA,NA,NA,1,0,0.0702777777777778
"124","pilot26","05/17","2",1621305838737005,"528b647c93656646ea7a0c79e0bb3eb2",14,1016,4,0,0,1,0,0,0,NA,NA,NA,1,0,0.282222222222222
"125","pilot27","05/01","1",1619926577412047,"74607fb035a9a6ee33cd613f5344ed5f",2,431,13,0,0,9,0,0,0,0,0,0,1,0,0.119722222222222
"126","pilot27","05/04","3",1620185274806134,"74607fb035a9a6ee33cd613f5344ed5f",4,618,4,0,0,12,0,1,0,2,0,1,1,0,0.171666666666667
"127","pilot27","05/05","3",1620276166963093,"74607fb035a9a6ee33cd613f5344ed5f",1,442,26,0,0,7,0,2,0,0,0,0,1,0,0.122777777777778
"128","pilot27","05/06","3",1.62036e+15,"74607fb035a9a6ee33cd613f5344ed5f",2,1412,58,0,0,3,0,2,0,0,0,0,1,0,0.392222222222222
"129","pilot27","05/07","3",1620444994976315,"74607fb035a9a6ee33cd613f5344ed5f",4,1499,91,0,0,14,0,0,0,0,0,0,1,0,0.416388888888889
"130","pilot27","05/08","3",1620534665359019,"74607fb035a9a6ee33cd613f5344ed5f",7,830,121,0,0,15,0,0,0,0,0,0,1,0,0.230555555555556
"131","pilot27","05/09","3",1620616698657046,"74607fb035a9a6ee33cd613f5344ed5f",3,636,121,0,0,15,0,0,0,0,0,0,1,0,0.176666666666667
"132","pilot27","05/11","0",1620789375248029,"74607fb035a9a6ee33cd613f5344ed5f",2,356,200,0,0,1,0,0,0,1,NA,NA,1,0,0.0988888888888889
"133","pilot27","05/12","0",1620876338714016,"74607fb035a9a6ee33cd613f5344ed5f",6,972,31,0,0,15,0,0,0,NA,NA,NA,1,0,0.27
"134","pilot27","05/13","0",1.62096e+15,"74607fb035a9a6ee33cd613f5344ed5f",6,261,31,0,0,15,0,0,0,NA,NA,NA,1,0,0.0725
"135","pilot27","05/15","0",1621135559575019,"74607fb035a9a6ee33cd613f5344ed5f",4,774,20,0,0,6,0,0,0,NA,NA,NA,1,0,0.215
"136","pilot27","05/16","0",1.62122e+15,"74607fb035a9a6ee33cd613f5344ed5f",5,638,20,0,0,16,0,0,0,NA,NA,NA,1,0,0.177222222222222
"137","pilot27","05/17","0",1621313146134057,"74607fb035a9a6ee33cd613f5344ed5f",11,973,26,0,0,16,0,0,0,NA,NA,NA,1,0,0.270277777777778
"138","pilot27","05/18","2",1621397873813003,"74607fb035a9a6ee33cd613f5344ed5f",8,484,145,0,0,9,0,0,0,NA,NA,NA,1,0,0.134444444444444
"139","pilot27","05/19","2",1621478503617015,"74607fb035a9a6ee33cd613f5344ed5f",7,555,231,0,0,12,0,0,0,NA,NA,NA,1,0,0.154166666666667
"140","pilot27","05/20","2",1621567351378004,"74607fb035a9a6ee33cd613f5344ed5f",3,239,231,0,0,12,0,0,0,NA,NA,NA,1,0,0.0663888888888889
"141","pilot27","05/22","2",1.62174e+15,"74607fb035a9a6ee33cd613f5344ed5f",4,632,57,0,0,20,0,0,0,NA,NA,NA,1,0,0.175555555555556
"142","pilot27","05/23","2",1621828043558176,"74607fb035a9a6ee33cd613f5344ed5f",7,1178,78,0,0,20,1,0,0,NA,NA,NA,1,0,0.327222222222222
"143","pilot27","05/24","2",1621912529669041,"74607fb035a9a6ee33cd613f5344ed5f",2,261,97,0,0,8,0,0,0,NA,NA,NA,1,0,0.0725
"144","pilot27","4/27","1",1.61958e+15,"74607fb035a9a6ee33cd613f5344ed5f",4,867,19,0,0,24,0,0,0,1,0,0,1,0,0.240833333333333
"145","pilot28","05/01","1",1619937926775017,"7bed5cb1d6911cce9243412437cb7aa8",12,581,52,0,1,1,0,1,0,1,0,0,2,0.693147180559945,0.161388888888889
"146","pilot28","05/02","1",1620017562055011,"7bed5cb1d6911cce9243412437cb7aa8",4,430,44,0,1,1,0,1,0,0,0,0,1,0,0.119444444444444
"147","pilot28","05/03","1",1620100330429013,"7bed5cb1d6911cce9243412437cb7aa8",16,792,60,0,0,2,0,0,0,1,0,0,2,0.693147180559945,0.22
