"","X","pid","date","condition","ts","uid","internal","external","feedname","feedname_general","ft","ftah","avgAttentionScore","fthrs","ftmin","ftahhrs","ftahmin","scrolledIntoOld"
"55",55,"p03","05/03",2,1620096804591011,"690bbbd4d2323faf5f29abe6664c3368","1",0,"1389294864878219271","list",6,NA,1,0.00166666666666667,0.1,NA,NA,"no"
"56",56,"p03","05/03",2,1620068136516012,"690bbbd4d2323faf5f29abe6664c3368","1",0,"1386753322670071809","list",9,9,1,0.0025,0.15,0.0025,0.15,"yes"
"57",57,"p03","05/03",2,1620081838627003,"690bbbd4d2323faf5f29abe6664c3368","1",0,"1386754307702284292","list",23,22,1,0.00638888888888889,0.383333333333333,0.00611111111111111,0.366666666666667,"yes"
"58",58,"p03","05/03",2,1620068706973028,"690bbbd4d2323faf5f29abe6664c3368","1",0,"1386753322670071809","list",8,8,1,0.00222222222222222,0.133333333333333,0.00222222222222222,0.133333333333333,"yes"
"59",59,"p03","05/03",2,1620068689373018,"690bbbd4d2323faf5f29abe6664c3368","1",0,"1386753322670071809","list",4,4,1,0.00111111111111111,0.0666666666666667,0.00111111111111111,0.0666666666666667,"yes"
"60",60,"p03","05/03",2,1620081841517004,"690bbbd4d2323faf5f29abe6664c3368","1",0,"1386753322670071809","list",2,2,1,0.000555555555555556,0.0333333333333333,0.000555555555555556,0.0333333333333333,"yes"
"61",61,"p03","05/11",1,1620787006556015,"690bbbd4d2323faf5f29abe6664c3368","0",1,"home","home",14,NA,2,0.00388888888888889,0.233333333333333,NA,NA,"no"
"62",62,"p03","05/11",1,1.62079e+15,"690bbbd4d2323faf5f29abe6664c3368","0",1,"home","home",19,NA,2,0.00527777777777778,0.316666666666667,NA,NA,"no"
"63",63,"p03","05/11",1,1620793604088004,"690bbbd4d2323faf5f29abe6664c3368","0",1,"home","home",13,13,2,0.00361111111111111,0.216666666666667,0.00361111111111111,0.216666666666667,"yes"
"64",64,"p03","05/11",1,1620787080147024,"690bbbd4d2323faf5f29abe6664c3368","0",1,"home","home",50,40,2,0.0138888888888889,0.833333333333333,0.0111111111111111,0.666666666666667,"yes"
"65",65,"p03","05/11",1,1620786968761004,"690bbbd4d2323faf5f29abe6664c3368","0",1,"home","home",56,NA,2,0.0155555555555556,0.933333333333333,NA,NA,"no"
"66",66,"p03","05/11",1,1620786983713009,"690bbbd4d2323faf5f29abe6664c3368","0",1,"home","home",1,NA,2,0.000277777777777778,0.0166666666666667,NA,NA,"no"
"67",67,"p03","05/11",1,1.62079e+15,"690bbbd4d2323faf5f29abe6664c3368","0",1,"home","home",35,NA,2,0.00972222222222222,0.583333333333333,NA,NA,"no"
"68",68,"p03","05/16",1,1621208666629004,"690bbbd4d2323faf5f29abe6664c3368","0",1,"home","home",8,8,1,0.00222222222222222,0.133333333333333,0.00222222222222222,0.133333333333333,"yes"
"69",69,"p03","05/16",1,1621202903110027,"690bbbd4d2323faf5f29abe6664c3368","0",1,"home","home",84,18,1,0.0233333333333333,1.4,0.005,0.3,"yes"
"70",70,"p03","05/16",1,1621208703722009,"690bbbd4d2323faf5f29abe6664c3368","0",1,"home","home",32,NA,1,0.00888888888888889,0.533333333333333,NA,NA,"no"
"71",71,"p03","05/16",1,1621223085925009,"690bbbd4d2323faf5f29abe6664c3368","0",1,"home","home",1,NA,1,0.000277777777777778,0.0166666666666667,NA,NA,"no"
"72",72,"p03","05/16",1,1621223182119028,"690bbbd4d2323faf5f29abe6664c3368","0",1,"home","home",7,NA,1,0.00194444444444444,0.116666666666667,NA,NA,"no"
"73",73,"p03","05/16",1,1621202525746003,"690bbbd4d2323faf5f29abe6664c3368","0",1,"home","home",22,22,1,0.00611111111111111,0.366666666666667,0.00611111111111111,0.366666666666667,"yes"
"74",74,"p03","05/16",1,1621223062149004,"690bbbd4d2323faf5f29abe6664c3368","0",1,"home","home",26,26,1,0.00722222222222222,0.433333333333333,0.00722222222222222,0.433333333333333,"yes"
"75",75,"p03","05/16",1,1621223173985023,"690bbbd4d2323faf5f29abe6664c3368","0",1,"home","home",20,NA,1,0.00555555555555556,0.333333333333333,NA,NA,"no"
"76",76,"p04","05/01",3,1619899302583004,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",20,NA,3,0.00555555555555556,0.333333333333333,NA,NA,"no"
"77",77,"p04","05/01",3,1619910416797017,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386822178155470849","list",52,NA,3,0.0144444444444444,0.866666666666667,NA,NA,"no"
"78",78,"p04","05/01",3,1619925701694003,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386822178155470849","list",6,NA,3,0.00166666666666667,0.1,NA,NA,"no"
"79",79,"p04","05/01",3,1619899623038133,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",3,2,3,0.000833333333333333,0.05,0.000555555555555556,0.0333333333333333,"yes"
"80",80,"p04","05/01",3,1619899318519019,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",2,NA,3,0.000555555555555556,0.0333333333333333,NA,NA,"no"
"81",81,"p04","05/01",3,1619899308670009,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",3,NA,3,0.000833333333333333,0.05,NA,NA,"no"
"82",82,"p04","05/01",3,1619908031473052,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386826810189619246","list",43,NA,3,0.0119444444444444,0.716666666666667,NA,NA,"no"
"83",83,"p04","05/01",3,1619911006142001,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386822178155470849","list",1,NA,3,0.000277777777777778,0.0166666666666667,NA,NA,"no"
"84",84,"p04","05/01",3,1619925707750005,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386823965302300672","list",2,2,3,0.000555555555555556,0.0333333333333333,0.000555555555555556,0.0333333333333333,"yes"
"85",85,"p04","05/01",3,1619882099002007,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386822178155470849","list",1,NA,3,0.000277777777777778,0.0166666666666667,NA,NA,"no"
"86",86,"p04","05/01",3,1619925705564004,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386826810189619246","list",3,NA,3,0.000833333333333333,0.05,NA,NA,"no"
"87",87,"p04","05/01",3,1619907938689029,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386823965302300672","list",9,NA,3,0.0025,0.15,NA,NA,"no"
"88",88,"p04","05/01",3,1619899497565075,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386823354670276610","list",7,NA,3,0.00194444444444444,0.116666666666667,NA,NA,"no"
"89",89,"p04","05/01",3,1619925755001017,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386823354670276610","list",11,7,3,0.00305555555555556,0.183333333333333,0.00194444444444444,0.116666666666667,"yes"
"90",90,"p04","05/01",3,1619907946807035,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386823965302300672","list",2,NA,3,0.000555555555555556,0.0333333333333333,NA,NA,"no"
"91",91,"p04","05/01",3,1619925717041007,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",9,NA,3,0.0025,0.15,NA,NA,"no"
"92",92,"p04","05/01",3,1619875547644004,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386822178155470849","list",7,NA,3,0.00194444444444444,0.116666666666667,NA,NA,"no"
"93",93,"p04","05/01",3,1619925743597016,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386822178155470849","list",1,NA,3,0.000277777777777778,0.0166666666666667,NA,NA,"no"
"94",94,"p04","05/01",3,1619908037957053,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386822178155470849","list",6,NA,3,0.00166666666666667,0.1,NA,NA,"no"
